[2026-02-25 12:14:20] Starting Functional Regression Testing...
[2026-02-25 12:14:20] Health Check /health: PASS (0.017s)
[2026-02-25 12:14:20] Health Check /slm/health: PASS (0.002s)
[2026-02-25 12:14:20] Health Check /llm/health: PASS (0.001s)
[2026-02-25 12:14:20] Health Check /rag/health: PASS (0.001s)
[2026-02-25 12:14:24] App Switching talentops: PASS (Available: True)
[2026-02-25 12:14:24] App Switching cohort: PASS (Available: True)
[2026-02-25 12:14:24] Running Performance Benchmarks...
[2026-02-25 12:14:24] Starting Load Test with 10 concurrent users...
[2026-02-25 12:14:42] Load Test (10 users): Avg 10.157s, P95 18.245s, Errors 0
[2026-02-25 12:14:42] Starting Load Test with 50 concurrent users...
[2026-02-25 12:15:02] Load Test (50 users): Avg 10.916s, P95 20.196s, Errors 38
[2026-02-25 12:15:02] Starting Load Test with 100 concurrent users...
[2026-02-25 12:15:23] Load Test (100 users): Avg 0.000s, P95 0.000s, Errors 100
[2026-02-25 12:15:23] Starting Stress & Edge Case Testing...
[2026-02-25 12:15:44] All tests completed.[2026-02-25T12:15:45.563972] SLM Request: Total=2.275s, TTFT=0.418s, Gen=1.456s, TPS=71.42, Status=success
[2026-02-25T12:15:47.314062] SLM Request: Total=1.738s, TTFT=0.402s, Gen=0.800s, TPS=132.48, Status=success
[2026-02-25T12:15:48.917893] SLM Request: Total=1.598s, TTFT=0.360s, Gen=0.742s, TPS=142.93, Status=success
[2026-02-25T12:15:51.132926] SLM Request: Total=2.212s, TTFT=0.424s, Gen=1.216s, TPS=53.46, Status=success
[2026-02-25T12:15:52.646305] SLM Request: Total=1.510s, TTFT=0.449s, Gen=0.721s, TPS=147.05, Status=success
[2026-02-25T12:15:54.709010] SLM Request: Total=2.061s, TTFT=0.638s, Gen=1.330s, TPS=78.98, Status=success
[2026-02-25T12:15:56.616300] SLM Request: Total=1.906s, TTFT=0.452s, Gen=1.145s, TPS=60.25, Status=success
[2026-02-25T12:15:58.121645] SLM Request: Total=1.503s, TTFT=0.376s, Gen=0.772s, TPS=137.35, Status=success
[2026-02-25T12:15:59.604426] SLM Request: Total=1.479s, TTFT=0.362s, Gen=0.686s, TPS=154.45, Status=success
[2026-02-25T12:16:01.528200] SLM Request: Total=1.922s, TTFT=0.405s, Gen=0.956s, TPS=110.93, Status=success
[2026-02-25T12:16:03.482704] SLM Request: Total=1.948s, TTFT=0.546s, Gen=1.207s, TPS=87.01, Status=success
[2026-02-25T12:16:05.567429] SLM Request: Total=2.079s, TTFT=0.489s, Gen=1.293s, TPS=111.39, Status=success
[2026-02-25T12:16:07.407589] SLM Request: Total=1.835s, TTFT=0.349s, Gen=0.761s, TPS=139.26, Status=success
[2026-02-25T12:16:09.023801] SLM Request: Total=1.614s, TTFT=0.389s, Gen=0.763s, TPS=138.93, Status=success
[2026-02-25T12:16:10.663986] SLM Request: Total=1.635s, TTFT=0.434s, Gen=0.697s, TPS=152.03, Status=success
[2026-02-25T12:16:12.645405] SLM Request: Total=1.977s, TTFT=0.520s, Gen=1.277s, TPS=125.32, Status=success
